curva,valore,ripetizione,misura,secondi,errore,titoli,partizioni,worker,thread
worker,1,0,0,76.11,,100000,32,1,4
worker,1,0,1,80.35,,100000,32,1,4
worker,1,0,2,83.17,,100000,32,1,4
worker,1,0,3,77.05,,100000,32,1,4
worker,1,0,4,77.52,,100000,32,1,4
worker,1,0,5,80.62,,100000,32,1,4
worker,1,0,6,80.92,,100000,32,1,4
worker,1,0,7,79.55,,100000,32,1,4
worker,1,1,0,85.29,,100000,32,1,4
worker,1,1,1,76.77,,100000,32,1,4
worker,1,1,2,79.21,,100000,32,1,4
worker,1,1,3,85.02,,100000,32,1,4
worker,1,1,4,81.27,,100000,32,1,4
worker,1,1,5,83.11,,100000,32,1,4
worker,1,1,6,82.23,,100000,32,1,4
worker,1,1,7,88.22,,100000,32,1,4
worker,1,2,0,83.76,,100000,32,1,4
worker,1,2,1,87.85,,100000,32,1,4
worker,1,2,2,84.06,,100000,32,1,4
worker,1,2,3,72.75,,100000,32,1,4
worker,1,2,4,84.55,,100000,32,1,4
worker,1,2,5,78.46,,100000,32,1,4
worker,1,2,6,76.28,,100000,32,1,4
worker,1,2,7,71.72,,100000,32,1,4
worker,1,3,0,80.02,,100000,32,1,4
worker,1,3,1,77.05,,100000,32,1,4
worker,1,3,2,78.55,,100000,32,1,4
worker,1,3,3,79.02,,100000,32,1,4
worker,1,3,4,75.32,,100000,32,1,4
worker,1,3,5,72.45,,100000,32,1,4
worker,1,3,6,72.72,,100000,32,1,4
worker,1,3,7,70.48,,100000,32,1,4
worker,1,4,0,84.84,,100000,32,1,4
worker,1,4,1,81.21,,100000,32,1,4
worker,1,4,2,81.91,,100000,32,1,4
worker,1,4,3,85.09,,100000,32,1,4
worker,1,4,4,86.32,,100000,32,1,4
worker,1,4,5,80.29,,100000,32,1,4
worker,1,4,6,84.16,,100000,32,1,4
worker,1,4,7,84.17,,100000,32,1,4
