curva,valore,ripetizione,misura,secondi,errore,titoli,partizioni,worker,thread
worker,1,0,0,83.35,,100000,32,1,4
worker,1,0,1,89.52,,100000,32,1,4
worker,1,0,2,82.83,,100000,32,1,4
worker,1,0,3,93.83,,100000,32,1,4
worker,1,0,4,97.09,,100000,32,1,4
worker,1,0,5,90.65,,100000,32,1,4
worker,1,0,6,83.44,,100000,32,1,4
worker,1,0,7,86.49,,100000,32,1,4
worker,1,1,0,83.14,,100000,32,1,4
worker,1,1,1,90.0,,100000,32,1,4
worker,1,1,2,88.44,,100000,32,1,4
worker,1,1,3,89.81,,100000,32,1,4
worker,1,1,4,87.51,,100000,32,1,4
worker,1,1,5,95.92,,100000,32,1,4
worker,1,1,6,94.42,,100000,32,1,4
worker,1,1,7,88.52,,100000,32,1,4
worker,1,2,0,95.63,,100000,32,1,4
worker,1,2,1,84.5,,100000,32,1,4
worker,1,2,2,82.13,,100000,32,1,4
worker,1,2,3,82.74,,100000,32,1,4
worker,1,2,4,83.8,,100000,32,1,4
worker,1,2,5,81.34,,100000,32,1,4
worker,1,2,6,83.45,,100000,32,1,4
worker,1,2,7,79.63,,100000,32,1,4
worker,1,3,0,88.82,,100000,32,1,4
worker,1,3,1,83.92,,100000,32,1,4
worker,1,3,2,86.1,,100000,32,1,4
worker,1,3,3,81.37,,100000,32,1,4
worker,1,3,4,80.35,,100000,32,1,4
worker,1,3,5,83.23,,100000,32,1,4
worker,1,3,6,80.87,,100000,32,1,4
worker,1,3,7,81.83,,100000,32,1,4
worker,1,4,0,82.88,,100000,32,1,4
worker,1,4,1,85.2,,100000,32,1,4
worker,1,4,2,80.49,,100000,32,1,4
worker,1,4,3,81.08,,100000,32,1,4
worker,1,4,4,81.26,,100000,32,1,4
worker,1,4,5,78.77,,100000,32,1,4
worker,1,4,6,80.93,,100000,32,1,4
worker,1,4,7,81.53,,100000,32,1,4
