curva,valore,ripetizione,misura,secondi,errore,titoli,partizioni,worker,thread
worker,1,0,0,86.28,,100000,32,1,4
worker,1,0,1,83.83,,100000,32,1,4
worker,1,0,2,85.29,,100000,32,1,4
worker,1,0,3,83.26,,100000,32,1,4
worker,1,0,4,86.77,,100000,32,1,4
worker,1,0,5,83.66,,100000,32,1,4
worker,1,0,6,83.08,,100000,32,1,4
worker,1,0,7,84.35,,100000,32,1,4
worker,1,1,0,88.33,,100000,32,1,4
worker,1,1,1,86.53,,100000,32,1,4
worker,1,1,2,86.63,,100000,32,1,4
worker,1,1,3,80.17,,100000,32,1,4
worker,1,1,4,74.79,,100000,32,1,4
worker,1,1,5,81.67,,100000,32,1,4
worker,1,1,6,74.74,,100000,32,1,4
worker,1,1,7,73.26,,100000,32,1,4
worker,1,2,0,78.5,,100000,32,1,4
worker,1,2,1,81.76,,100000,32,1,4
worker,1,2,2,81.08,,100000,32,1,4
worker,1,2,3,85.58,,100000,32,1,4
worker,1,2,4,85.8,,100000,32,1,4
worker,1,2,5,81.16,,100000,32,1,4
worker,1,2,6,81.28,,100000,32,1,4
worker,1,2,7,85.98,,100000,32,1,4
worker,1,3,0,87.18,,100000,32,1,4
worker,1,3,1,87.06,,100000,32,1,4
worker,1,3,2,87.39,,100000,32,1,4
worker,1,3,3,88.97,,100000,32,1,4
worker,1,3,4,82.65,,100000,32,1,4
worker,1,3,5,87.15,,100000,32,1,4
worker,1,3,6,80.1,,100000,32,1,4
worker,1,3,7,83.68,,100000,32,1,4
worker,1,4,0,83.17,,100000,32,1,4
worker,1,4,1,85.62,,100000,32,1,4
worker,1,4,2,85.07,,100000,32,1,4
worker,1,4,3,86.94,,100000,32,1,4
worker,1,4,4,82.51,,100000,32,1,4
worker,1,4,5,82.86,,100000,32,1,4
worker,1,4,6,84.79,,100000,32,1,4
worker,1,4,7,86.86,,100000,32,1,4
