curva,valore,ripetizione,secondi,errore,partizioni,file,worker,thread
partizioni,4,1,7.19,,4,192,8,8
partizioni,8,1,3.96,,8,192,8,8
partizioni,16,1,4.97,,16,192,8,8
partizioni,32,1,6.13,,32,192,8,8
partizioni,64,1,7.3,,64,192,8,8
partizioni,128,1,17.36,,128,192,8,8
partizioni,192,1,26.42,,192,192,8,8
pandas,1,2,14.16,,1,192,1,1
partizioni,1,2,11.36,,1,192,8,8
partizioni,2,2,10.75,,2,192,8,8
partizioni,4,2,7.52,,4,192,8,8
partizioni,8,2,4.01,,8,192,8,8
partizioni,16,2,4.55,,16,192,8,8
partizioni,32,2,6.25,,32,192,8,8
partizioni,64,2,7.68,,64,192,8,8
partizioni,128,2,16.08,,128,192,8,8
partizioni,192,2,26.18,,192,192,8,8
