k,file,paragrafi,byte_testo,coppie_map,picco_gb,gb_lettura,gb_map,gb_proiezione,gb_dataframe,gb_groupby
512,3,30561,28858912,834117,0.499679232,0.17281843200000002,0.191004672,0.06019481600000004,0.062734336,0.012926975999999923
256,7,66665,62123576,1805131,0.995803136,0.319193088,0.430522368,0.12792627200000006,0.11182080000000005,0.006340607999999914
128,15,133147,124118961,3745131,1.94330624,0.53297152,0.8600616959999999,0.2660597760000001,0.24218828799999992,0.04202496
64,30,314940,294266062,7925950,4.066902015999999,1.10379008,1.80895744,0.5654609920000002,0.5603491840000001,0.028344319999999534
32,61,602184,538862252,15097524,7.446953984,1.855799296,3.4325954559999996,1.0982195199999998,0.5772247040000007,0.0800194559999996
